opt_dsnow,opt_rho_snow,opt_dice,opt_axis_ratio,opt_tice,opt_sice,opt_tbh,opt_tbv,target_tbh,target_tbv,cost
0.057846653053321415,355.0330411394423,0.9442901081921995,3.9211132479363013,-13.657491443844869,4.898598876464042,246.14889976172157,247.08834273465135,245.986904385846,244.682448618248,1.4625847906207823
0.05671070013714155,298.11992584818313,0.948949723729436,3.856785164575119,-13.701281875846629,4.846305638073796,246.46034930177942,246.55368583977435,246.627791020265,243.795584080986,1.6735202491255707
0.06575603690181836,298.4078475500853,0.934293852723727,4.180613604504428,-13.555363523380011,5.047768142040354,244.10813914002205,247.09244094071758,244.585948063104,243.994930516462,1.1063708965198886
0.057234673067168375,353.7145064165694,0.9331646754642227,4.7460276725352335,-13.316214156704437,5.23523925886071,252.22295258533853,252.33866723722207,253.612755645672,249.292978820192,0.5604221672575548
0.05739693774489993,298.1122665821813,0.9707076735772208,4.431711274205847,-13.555938672599158,5.2221465657842945,251.71306277538832,251.7505528633881,252.680072834438,246.909682947415,1.3369696931004098
0.051839846674745844,266.3695083614041,0.9852624794675322,4.323693962049439,-13.552693105663149,5.1467853289862875,249.47565294683722,251.15717653094342,249.958484376864,247.422071426355,1.0157345894724583
0.04932242387651593,302.5820800232726,0.9805929453916155,4.423203747646221,-13.549690455853654,5.212618567449628,251.76212535576738,252.5085629417391,253.796011043981,246.751935435867,1.9893702860850422
0.14655028647212737,302.8482735933988,0.893898403186751,3.9750855146266386,-13.644093876235603,4.895292453312603,234.98383314945295,247.87560699261257,235.29150621443648,245.305912203297,1.439100655810778
0.1449181143690078,301.0347872905602,0.8939686841173649,4.01145655021184,-13.630251478306523,4.915884680209514,234.48144107406833,248.4811268124231,234.689935471623,246.016920359811,1.2837227941618192
0.07325649766540565,357.0049914167496,0.9872948014792531,4.375261616194567,-13.538121428846267,5.147389152633863,232.92206004770645,246.63240892247137,231.718429178,244.700842381844,1.292859505807333
