opt_dsnow,opt_rho_snow,opt_dice,opt_axis_ratio,opt_tice,opt_sice,opt_tbh,opt_tbv,target_tbh,target_tbv,cost
0.13000056586221503,381.44388297367374,0.8599471918589667,4.730719443925748,-17.24838705372663,4.663857362206597,230.82552815573283,245.12783304572446,236.746109013236,238.467571436701,3.260063453023937
0.12999920700121892,385.73930203259476,0.8597050255878143,3.769471133653067,-17.449742207963784,4.234283404405194,219.94891574331285,234.13473105218532,216.284335360903,235.725690821177,2.1695140410485725
-1.0026268270125424e-6,385.1772647265248,0.8596728927166964,3.6485188003926865,-17.477350095431582,4.148037313839005,217.6027787956812,231.7756587945806,214.827549525296,232.3775756197515,2.248229798064073
0.12999976425682674,383.86574752592975,0.8597910368801653,4.095009980187923,-17.411797782289046,4.407577730753453,224.82888242466453,239.0453457783982,224.667756198381,237.440454362997,0.8805828007875645
0.05499961696812483,363.2253352696107,0.9198837463373978,4.441828354797125,-17.35681475832868,4.563757157891265,229.78501029438894,243.96927839298317,231.95556994627702,240.29536411899602,1.0209514251030052
0.08000082548203677,385.0581592435791,0.8400417369831978,5.135694675245841,-16.989233508972447,4.801180529105078,232.84582241389165,247.24688136795865,240.715636664476,240.08482930099052,4.561948788769167
0.08000093247554224,385.63779893312244,0.8398982510665327,4.537102244356664,-17.317641194962185,4.590115898779132,228.92604801386216,243.2211472341616,233.829879552329,237.217833314432,2.630610294592599
0.04499787754755149,399.99999690746,0.8446147828289489,3.476234898901488,-17.4904589834581,4.019067073887481,213.29721537577618,227.55700557210835,209.148144388975,229.389783086018,3.413857053283535
0.13500348588493183,387.9003743858437,0.8598016113025758,5.766074960958747,-15.768417277365133,4.952534538428257,235.75068915742963,250.37300043483464,243.153893122684,251.391741180487,2.944084544059265
0.0019947342446178812,387.3253669271847,0.8474776569297573,3.770660885386625,-17.425018151995484,4.246249889703745,219.6300847292525,233.832577170171,213.405836211505,237.999831514955,3.7777097603460685
0.06500437429282407,368.2813902125266,0.859068542900774,5.645537322144673,-16.16644387860921,4.9328405673029225,235.13119938980657,249.6152988149433,242.834728740995,247.721803577831,2.9336688722059536
0.08499980942847718,388.51394223348603,0.8538462185359006,4.775421757843658,-17.19833431571566,4.693030768874601,231.09777291918817,245.453890051433,235.040356417752,240.864804780632,1.5298295904134918
0.08499993685556373,389.0024860491794,0.8555871225732652,5.074438442983601,-17.003007226833308,4.797036586958401,232.84142936152963,247.25774344443235,237.87704957582702,242.6205551505145,1.889855537030022
0.04500333843258831,393.2048689084977,0.8578640962249026,5.459855310009621,-16.542629302266803,4.907059898231419,234.52710145749745,249.06415996444161,240.909645147676,245.864055370191,2.223219726911277
0.08500103146647789,399.9999987617075,0.8614494571818866,5.964812369212632,-14.80679631651161,4.8971732364195795,236.76664737783943,251.59050631907243,249.96595494975452,254.368075241773,8.958335670785415
